,Date,Open,High,Low,Close,Volume,Adj Close
170,2017-10-19,10.22,11.77,9.99,10.05,0,0
171,2017-10-18,10.34,10.41,9.87,10.07,0,0
172,2017-10-17,9.85,10.46,9.78,10.31,0,0
173,2017-10-16,9.95,10.02,9.75,9.91,0,0
174,2017-10-13,9.95,9.98,9.44,9.61,0,0
175,2017-10-12,9.94,10.33,9.65,9.91,0,0
176,2017-10-11,9.95,10.38,9.72,9.85,0,0
177,2017-10-10,10.15,10.66,9.94,10.08,0,0
178,2017-10-09,9.92,10.53,9.88,10.33,0,0
179,2017-10-06,9.23,10.27,9.11,9.65,0,0
180,2017-10-05,9.48,9.62,9.13,9.19,0,0
181,2017-10-04,9.53,9.88,9.53,9.63,0,0
182,2017-10-03,9.3,9.75,9.3,9.51,0,0
183,2017-09-29,9.59,9.83,9.36,9.51,0,0
184,2017-09-28,9.74,10.13,9.55,9.55,0,0
185,2017-09-27,9.9,10.42,9.63,9.87,0,0
186,2017-09-26,10.42,10.68,9.94,10.17,0,0
187,2017-09-25,10.08,11.21,9.79,10.21,0,0
188,2017-09-22,9.9,10.2,9.5,9.59,0,0
189,2017-09-21,9.74,10.21,9.54,9.67,0,0
190,2017-09-20,10.04,10.67,9.67,9.78,0,0
191,2017-09-19,10.16,10.3,9.85,10.18,0,0
192,2017-09-18,10.18,10.42,9.88,10.15,0,0
193,2017-09-15,10.51,10.74,10,10.17,0,0
194,2017-09-14,10.57,11.04,10.28,10.44,0,0
195,2017-09-13,10.72,10.86,10.33,10.5,0,0
196,2017-09-12,10.66,10.95,10.29,10.58,0,0
197,2017-09-11,11.38,11.39,10.51,10.73,0,0
198,2017-09-08,11.87,12.6,11.84,12.12,0,0
199,2017-09-07,11.93,12.07,11.32,11.55,0,0
200,2017-09-06,12.27,12.59,11.35,11.63,0,0
201,2017-09-05,11.75,14.06,11.41,12.23,0,0
202,2017-09-01,10.33,10.46,10.02,10.13,0,0
203,2017-08-31,11.07,11.22,10.34,10.59,0,0
204,2017-08-30,11.4,11.98,10.96,11.22,0,0
205,2017-08-29,13.33,14.34,11.48,11.7,0,0
206,2017-08-28,12.09,12.11,11.23,11.32,0,0
207,2017-08-25,12.2,12.45,11.1,11.28,0,0
208,2017-08-24,12.06,12.83,11.55,12.23,0,0
209,2017-08-23,11.51,12.59,11.39,12.25,0,0
210,2017-08-22,12.6,12.94,11.35,11.35,0,0
211,2017-08-21,14.59,14.74,13.07,13.19,0,0
212,2017-08-18,15.38,16.04,13.32,14.26,0,0
213,2017-08-17,11.81,15.77,11.54,15.55,0,0
214,2017-08-16,11.59,12.54,11.25,11.74,0,0
215,2017-08-15,11.78,12.37,11.45,12.04,0,0
216,2017-08-14,14.05,14.05,12.06,12.33,0,0
217,2017-08-11,16.17,17.28,14.5,15.51,0,0
218,2017-08-10,11.57,16.17,11.56,16.04,0,0
219,2017-08-09,11.49,12.63,11.11,11.11,0,0
220,2017-08-08,10.04,11.52,9.52,10.96,0,0
221,2017-08-04,10.48,10.5,9.68,10.03,0,0
222,2017-08-03,10.47,10.6,9.9,10.44,0,0
223,2017-08-02,10.08,10.81,9.8,10.28,0,0
224,2017-08-01,10.19,10.56,9.95,10.09,0,0
225,2017-07-31,10.53,10.84,10.23,10.26,0,0
226,2017-07-28,10.62,11.3,10.26,10.29,0,0
227,2017-07-27,9.33,11.5,9.16,10.11,0,0
228,2017-07-26,9.25,9.66,8.84,9.6,0,0
229,2017-07-25,9.4,9.52,9.04,9.43,0,0
230,2017-07-24,9.94,9.97,9.26,9.43,0,0
231,2017-07-21,9.52,9.98,9.3,9.36,0,0
232,2017-07-20,9.66,10.28,9.5,9.58,0,0
233,2017-07-19,9.69,9.94,9.58,9.79,0,0
234,2017-07-18,9.86,10.35,9.66,9.89,0,0
235,2017-07-17,9.77,10.03,9.71,9.82,0,0
236,2017-07-14,10.09,10.14,9.5,9.51,0,0
237,2017-07-13,10.07,10.4,9.9,9.9,0,0
238,2017-07-12,10.85,10.85,10.08,10.3,0,0
239,2017-07-11,10.79,12.14,10.68,10.89,0,0
240,2017-07-10,11.26,11.73,10.61,11.11,0,0
241,2017-07-07,12.48,12.57,10.98,11.19,0,0
242,2017-07-06,11.2,13.05,11.18,12.54,0,0
243,2017-07-05,11.2,12.03,10.79,11.07,0,0
244,2017-07-03,11.07,11.45,10.28,11.22,0,0
245,2017-06-30,11.74,11.85,10.4,11.18,0,0
246,2017-06-29,9.79,15.16,9.73,11.44,0,0
247,2017-06-28,11.17,11.49,9.76,10.03,0,0
248,2017-06-27,10.04,11.31,9.8,11.06,0,0
249,2017-06-26,10.13,10.44,9.68,9.9,0,0
250,2017-06-23,10.25,10.69,9.85,10.02,0,0
251,2017-06-22,10.81,11.01,10.24,10.48,0,0
252,2017-06-21,11.03,11.4,10.4,10.75,0,0
253,2017-06-20,10.28,11.15,10.24,10.86,0,0
254,2017-06-19,10.57,10.6,10.01,10.37,0,0
255,2017-06-16,10.63,11.35,10.26,10.38,0,0
256,2017-06-15,11.06,12.01,10.74,10.9,0,0
257,2017-06-14,10.33,11.26,10.01,10.64,0,0
258,2017-06-13,11.12,11.14,10.26,10.42,0,0
259,2017-06-09,9.93,12.11,9.37,10.7,0,0
260,2017-06-08,10.27,10.53,9.73,10.16,0,0
261,2017-06-07,10.48,10.93,10.12,10.39,0,0
262,2017-06-06,10.19,10.77,9.86,10.45,0,0
263,2017-06-05,10.08,10.28,9.6,10.07,0,0
264,2017-06-02,10.08,10.3,9.58,9.75,0,0
265,2017-06-01,10.42,10.54,9.69,9.89,0,0
266,2017-05-31,10.1,11.3,9.93,10.41,0,0
267,2017-05-30,10.61,10.84,10.14,10.38,0,0
268,2017-05-26,9.93,10.48,9.65,9.81,0,0
269,2017-05-25,9.82,10.29,9.72,9.99,0,0
270,2017-05-24,10.61,10.9,9.88,10.02,0,0
271,2017-05-23,11,11,10.56,10.72,0,0
272,2017-05-22,12.29,12.52,10.89,10.93,0,0
273,2017-05-19,14.23,14.23,11.72,12.04,0,0
274,2017-05-18,14.06,16.3,14.03,14.66,0,0
275,2017-05-17,11.89,15.59,11.53,15.59,0,0
276,2017-05-16,10.46,10.67,10.18,10.65,0,0
277,2017-05-15,10.54,10.88,10.25,10.42,0,0
278,2017-05-12,10.72,10.87,10.28,10.4,0,0
279,2017-05-11,10.34,11.23,10.32,10.6,0,0
280,2017-05-10,9.75,10.24,9.62,10.21,0,0
281,2017-05-09,9.87,10.14,9.56,9.96,0,0
282,2017-05-08,10.53,10.55,9.67,9.77,0,0
283,2017-05-05,10.51,10.98,9.99,10.57,0,0
284,2017-05-04,10.71,11.24,10.27,10.46,0,0
285,2017-05-03,10.56,11.15,10.4,10.68,0,0
286,2017-05-02,10.15,10.59,10.04,10.59,0,0
287,2017-05-01,10.92,11.04,9.9,10.11,0,0
288,2017-04-28,10.39,11.16,10.29,10.82,0,0
289,2017-04-27,10.72,11.08,10.33,10.36,0,0
290,2017-04-26,10.61,10.89,10.39,10.85,0,0
291,2017-04-24,11.56,12.01,10.82,10.84,0,0
292,2017-04-21,13.85,15.33,13.85,14.63,0,0
293,2017-04-20,14.59,14.81,13.83,14.15,0,0
294,2017-04-19,14,15.15,13.46,14.93,0,0
295,2017-04-18,14.5,15.5,14.29,14.42,0,0
296,2017-04-13,15.89,16.22,14.97,15.96,0,0
297,2017-04-12,15.16,16.16,14.84,15.77,0,0
298,2017-04-11,14.32,15.88,14.17,15.07,0,0
299,2017-04-10,13.24,14.11,12.94,14.05,0,0
300,2017-04-07,13.17,13.43,12.23,12.87,0,0
301,2017-04-06,13.11,13.22,11.7,12.39,0,0
302,2017-04-05,11.89,12.89,10.9,12.89,0,0
303,2017-04-04,12.71,13.07,11.7,11.79,0,0
304,2017-04-03,12.59,13.59,12.27,12.38,0,0
305,2017-03-31,11.61,12.54,11.5,12.37,0,0
306,2017-03-30,11.37,11.64,11.12,11.54,0,0
307,2017-03-29,11.54,11.7,11.03,11.42,0,0
308,2017-03-28,12.44,12.67,11.34,11.53,0,0
309,2017-03-27,14.78,15.11,12.48,12.5,0,0
310,2017-03-24,12.86,14.16,12.27,12.96,0,0
311,2017-03-23,12.65,13.17,12.18,13.12,0,0
312,2017-03-22,12.95,13.16,11.99,12.81,0,0
313,2017-03-21,11.15,12.85,10.92,12.47,0,0
314,2017-03-20,11.71,11.72,11.03,11.34,0,0
315,2017-03-17,11.38,11.38,10.78,11.28,0,0
316,2017-03-16,11.29,11.55,11.16,11.21,0,0
317,2017-03-15,12.12,12.25,10.6,11.63,0,0
318,2017-03-14,11.39,12.54,11.28,12.3,0,0
319,2017-03-13,12.16,12.23,11.29,11.35,0,0
320,2017-03-10,11.97,12.09,11.46,11.66,0,0
321,2017-03-09,11.75,12.43,11.62,12.3,0,0
322,2017-03-08,11.49,11.86,11.09,11.86,0,0
323,2017-03-07,11.27,11.58,11.04,11.45,0,0
324,2017-03-06,11.59,11.72,11.06,11.24,0,0
325,2017-03-03,11.96,11.97,10.94,10.96,0,0
326,2017-03-02,12.43,12.71,11.32,11.81,0,0
327,2017-03-01,12.31,12.58,11.78,12.54,0,0
328,2017-02-28,12.19,12.96,12.13,12.92,0,0
329,2017-02-27,11.78,12.14,11.53,12.09,0,0
330,2017-02-24,11.81,12.59,11.34,11.47,0,0
331,2017-02-23,11.66,12.46,11.54,11.71,0,0
332,2017-02-22,11.48,12.07,11.44,11.74,0,0
333,2017-02-21,12.05,12.09,11.5,11.57,0,0
334,2017-02-17,11.84,12.26,11.37,11.49,0,0
335,2017-02-16,12.02,12.86,11.69,11.76,0,0
336,2017-02-15,10.84,12.01,10.8,11.97,0,0
337,2017-02-14,11.17,11.34,10.73,10.74,0,0
338,2017-02-13,11.36,11.4,11.07,11.07,0,0
339,2017-02-10,10.85,10.95,10.55,10.85,0,0
340,2017-02-09,11.44,11.53,10.74,10.88,0,0
341,2017-02-08,11.19,11.82,11.15,11.45,0,0
342,2017-02-07,11.39,11.67,11.06,11.29,0,0
343,2017-02-06,11.37,11.84,11.09,11.37,0,0
344,2017-02-03,11.84,11.84,10.72,10.97,0,0
345,2017-02-02,12.37,12.47,11.62,11.93,0,0
346,2017-02-01,11.79,12.05,9.97,11.81,0,0
347,2017-01-31,12.29,12.99,11.79,11.99,0,0
348,2017-01-30,11.1,12.9,11.1,11.88,0,0
349,2017-01-27,10.57,10.82,10.3,10.58,0,0
350,2017-01-25,10.79,11.05,10.51,10.81,0,0
351,2017-01-24,11.82,11.89,11.04,11.07,0,0
352,2017-01-23,12.3,12.62,11.59,11.77,0,0
353,2017-01-20,12.58,12.59,11.53,11.54,0,0
354,2017-01-19,12.58,13.28,12.17,12.78,0,0
355,2017-01-18,11.79,12.81,11.69,12.48,0,0
356,2017-01-17,12.2,12.75,11.79,11.87,0,0
357,2017-01-13,11.45,11.62,10.94,11.23,0,0
358,2017-01-12,11.48,12.6,11.32,11.54,0,0
359,2017-01-11,11.56,12.23,11.21,11.26,0,0
360,2017-01-10,11.59,11.79,11.31,11.49,0,0
361,2017-01-09,11.71,12.08,11.46,11.56,0,0
362,2017-01-06,11.7,11.74,10.98,11.32,0,0
363,2017-01-05,11.96,12.09,11.4,11.67,0,0
364,2017-01-04,12.78,12.8,11.63,11.85,0,0
365,2017-01-03,14.07,14.07,12.85,12.85,0,0
366,2016-12-30,13.2,14.68,13.05,14.04,0,0
367,2016-12-29,13.15,13.71,12.95,13.37,0,0
368,2016-12-28,11.89,13.04,11.85,12.95,0,0
369,2016-12-23,11.38,11.81,11.35,11.44,0,0
370,2016-12-22,11.32,11.67,11.14,11.43,0,0
371,2016-12-21,11.44,11.49,10.93,11.27,0,0
372,2016-12-20,11.65,11.75,11.38,11.45,0,0
373,2016-12-19,12.5,12.52,11.67,11.71,0,0
374,2016-12-16,12.88,12.95,12.15,12.2,0,0
375,2016-12-15,13.07,13.24,12.46,12.79,0,0
376,2016-12-14,12.88,13.39,12.48,13.19,0,0
377,2016-12-13,12.46,13.42,12.34,12.72,0,0
378,2016-12-12,12.23,12.78,12.07,12.64,0,0
379,2016-12-09,12.59,12.72,11.67,11.75,0,0
380,2016-12-08,12.1,13.4,11.3,12.64,0,0
381,2016-12-07,11.59,12.24,11.33,12.22,0,0
382,2016-12-06,12.19,12.3,11.54,11.79,0,0
383,2016-12-05,13.75,13.77,12.14,12.14,0,0
384,2016-12-02,14.16,14.48,12.39,14.12,0,0
385,2016-12-01,13.4,14.72,13.05,14.07,0,0
386,2016-11-30,12.6,13.42,12.23,13.33,0,0
387,2016-11-29,13.07,13.55,12.62,12.9,0,0
388,2016-11-28,13.4,13.5,12.74,13.15,0,0
389,2016-11-25,12.52,12.74,12.31,12.34,0,0
390,2016-11-23,12.34,13.01,12.19,12.43,0,0
391,2016-11-22,12.26,12.83,12.2,12.41,0,0
392,2016-11-21,13.27,13.44,12.16,12.42,0,0
393,2016-11-18,13.56,13.74,12.85,12.85,0,0
394,2016-11-17,13.37,13.55,12.97,13.35,0,0
395,2016-11-16,13.51,14.49,13.51,13.72,0,0
396,2016-11-15,14.16,14.65,13.3,13.37,0,0
397,2016-11-14,14.69,15.56,14.39,14.48,0,0
398,2016-11-11,14.83,16,14.15,14.17,0,0
399,2016-11-10,14.01,16.3,13.26,14.74,0,0
400,2016-11-09,20.7,21.48,14.33,14.38,0,0
401,2016-11-08,18.92,19.91,17.7,18.74,0,0
402,2016-11-07,19.78,19.86,18.39,18.71,0,0
403,2016-11-04,21.86,23.01,19.2,22.51,0,0
404,2016-11-03,19.85,22.57,18.84,22.08,0,0
405,2016-11-02,19.09,19.82,18.56,19.32,0,0
406,2016-11-01,16.54,20.43,16.51,18.56,0,0
407,2016-10-31,16.31,17.63,16.25,17.06,0,0
408,2016-10-28,15.67,17.35,14.65,16.19,0,0
409,2016-10-27,14.37,15.43,13.6,15.36,0,0
410,2016-10-26,13.66,14.8,13.66,14.24,0,0
411,2016-10-25,12.91,13.86,12.73,13.46,0,0
412,2016-10-24,13.19,13.26,12.83,13.02,0,0
413,2016-10-21,14.04,14.53,13.27,13.34,0,0
414,2016-10-20,14.43,14.72,13.74,13.75,0,0
415,2016-10-19,15.45,15.68,13.87,14.41,0,0
416,2016-10-18,15.82,15.85,15.03,15.28,0,0
417,2016-10-17,17.01,17.11,16.13,16.21,0,0
418,2016-10-14,16.49,16.5,15.25,16.12,0,0
419,2016-10-13,16.88,17.95,16.14,16.69,0,0
420,2016-10-12,15.53,16.34,15.26,15.91,0,0
421,2016-10-11,13.71,16.47,13.69,15.36,0,0
422,2016-10-10,14.19,14.36,13.29,13.38,0,0
423,2016-10-07,13.52,14.15,12.21,13.48,0,0
424,2016-10-06,13.11,13.84,12.8,12.84,0,0
425,2016-10-05,13.56,13.68,12.7,12.99,0,0
426,2016-10-04,13.4,14.57,12.92,13.63,0,0
427,2016-09-30,14.91,15.2,12.53,13.29,0,0
428,2016-09-29,12.53,15.69,12.14,14.02,0,0
429,2016-09-28,12.9,13.57,12.24,12.39,0,0
430,2016-09-27,13.36,14.76,12.97,13.1,0,0
431,2016-09-26,13.26,14.63,13.26,14.5,0,0
432,2016-09-23,12,12.58,11.93,12.29,0,0
433,2016-09-22,13.39,13.39,11.76,12.02,0,0
434,2016-09-21,15.07,15.65,12.98,13.3,0,0
435,2016-09-20,14.98,16.09,14.69,15.92,0,0
436,2016-09-19,15.14,15.96,14.6,15.53,0,0
437,2016-09-16,16.41,17.1,15.28,15.37,0,0
438,2016-09-15,17.97,18.07,15.74,16.3,0,0
439,2016-09-14,17.63,18.14,16.34,18.14,0,0
440,2016-09-13,15.98,18.97,15.83,17.85,0,0
441,2016-09-12,20.13,20.51,14.76,15.16,0,0
442,2016-09-09,12.52,17.54,12.52,17.5,0,0
443,2016-09-08,11.74,12.6,11.65,12.51,0,0
444,2016-09-07,11.89,12.45,11.77,11.94,0,0
445,2016-09-06,12.42,12.93,11.85,12.02,0,0
446,2016-09-02,13.47,13.9,11.9,11.98,0,0
447,2016-09-01,13.07,14.61,12.99,13.48,0,0
448,2016-08-31,13.14,14.34,12.97,13.42,0,0
449,2016-08-30,12.94,13.6,12.7,13.12,0,0
450,2016-08-29,14.09,14.43,12.9,12.94,0,0
451,2016-08-26,13.54,14.93,12.13,13.65,0,0
452,2016-08-25,13.62,14.09,13.29,13.63,0,0
453,2016-08-24,12.7,14.01,12.3,13.45,0,0
454,2016-08-23,12.15,12.44,11.72,12.38,0,0
455,2016-08-22,12.53,13.02,11.94,12.27,0,0
456,2016-08-19,11.67,12.28,11.33,11.34,0,0
457,2016-08-18,12.2,12.53,11.42,11.43,0,0
458,2016-08-17,12.57,13.71,12.14,12.19,0,0
459,2016-08-16,12.04,12.78,11.87,12.64,0,0
460,2016-08-15,11.81,12.17,11.58,11.81,0,0
461,2016-08-12,11.61,12,11.28,11.55,0,0
462,2016-08-11,11.93,12.11,11.38,11.68,0,0
463,2016-08-10,11.55,12.5,11.37,12.05,0,0
464,2016-08-09,11.4,11.92,11.02,11.66,0,0
465,2016-08-08,11.66,11.78,11.41,11.5,0,0
466,2016-08-05,12.08,12.26,11.18,11.39,0,0
467,2016-08-04,12.73,12.98,11.79,12.42,0,0
468,2016-08-03,13.53,13.91,12.73,12.86,0,0
469,2016-08-02,12.39,14.24,12.35,13.37,0,0
470,2016-07-29,12.85,12.9,11.77,11.87,0,0
471,2016-07-28,12.51,13.52,12.36,12.72,0,0
472,2016-07-27,12.61,13.74,12.5,12.83,0,0
473,2016-07-26,12.88,13.5,12.8,13.05,0,0
474,2016-07-25,12.64,13.72,12.39,12.87,0,0
475,2016-07-22,12.8,12.88,11.97,12.02,0,0
476,2016-07-21,11.8,13.06,11.69,12.74,0,0
477,2016-07-20,11.94,11.97,11.4,11.77,0,0
