Date,Open,High,Low,Close,Volume,Adj Close
2014-09-05,1.2956,1.2956,1.2956,1.2956,0,0
2014-09-04,1.2926,1.2926,1.2926,1.2926,0,0
2014-09-03,1.3136,1.3136,1.3136,1.3136,0,0
2014-09-02,1.3124,1.3124,1.3124,1.3124,0,0
2014-08-29,1.315,1.315,1.315,1.315,0,0
2014-08-28,1.3178,1.3178,1.3178,1.3178,0,0
2014-08-27,1.3192,1.3192,1.3192,1.3192,0,0
2014-08-26,1.3189,1.3189,1.3189,1.3189,0,0
2014-08-25,1.3206,1.3206,1.3206,1.3206,0,0
2014-08-22,1.3237,1.3237,1.3237,1.3237,0,0
2014-08-21,1.3284,1.3284,1.3284,1.3284,0,0
2014-08-20,1.3284,1.3284,1.3284,1.3284,0,0
2014-08-19,1.332,1.332,1.332,1.332,0,0
2014-08-18,1.3358,1.3358,1.3358,1.3358,0,0
2014-08-15,1.3392,1.3392,1.3392,1.3392,0,0
2014-08-14,1.3376,1.3376,1.3376,1.3376,0,0
2014-08-13,1.3367,1.3367,1.3367,1.3367,0,0
2014-08-12,1.3357,1.3357,1.3357,1.3357,0,0
2014-08-11,1.3385,1.3385,1.3385,1.3385,0,0
2014-08-08,1.3412,1.3412,1.3412,1.3412,0,0
2014-08-07,1.3362,1.3362,1.3362,1.3362,0,0
2014-08-06,1.3355,1.3355,1.3355,1.3355,0,0
2014-08-05,1.3366,1.3366,1.3366,1.3366,0,0
2014-08-01,1.3436,1.3436,1.3436,1.3436,0,0
2014-07-31,1.339,1.339,1.339,1.339,0,0
2014-07-30,1.3378,1.3378,1.3378,1.3378,0,0
2014-07-29,1.341,1.341,1.341,1.341,0,0
2014-07-28,1.344,1.344,1.344,1.344,0,0
2014-07-25,1.3431,1.3431,1.3431,1.3431,0,0
2014-07-24,1.3468,1.3468,1.3468,1.3468,0,0
2014-07-23,1.3462,1.3462,1.3462,1.3462,0,0
2014-07-22,1.347,1.347,1.347,1.347,0,0
2014-07-21,1.3524,1.3524,1.3524,1.3524,0,0
2014-07-18,1.3515,1.3515,1.3515,1.3515,0,0
2014-07-17,1.353,1.353,1.353,1.353,0,0
2014-07-16,1.353,1.353,1.353,1.353,0,0
2014-07-15,1.3573,1.3573,1.3573,1.3573,0,0
2014-07-14,1.362,1.362,1.362,1.362,0,0
2014-07-11,1.3598,1.3598,1.3598,1.3598,0,0
2014-07-10,1.36,1.36,1.36,1.36,0,0
2014-07-09,1.363,1.363,1.363,1.363,0,0
2014-07-08,1.3614,1.3614,1.3614,1.3614,0,0
2014-07-07,1.3604,1.3604,1.3604,1.3604,0,0
2014-07-03,1.361,1.361,1.361,1.361,0,0
2014-07-02,1.3656,1.3656,1.3656,1.3656,0,0
2014-07-01,1.3681,1.3681,1.3681,1.3681,0,0
2014-06-30,1.369,1.369,1.369,1.369,0,0
2014-06-27,1.3631,1.3631,1.3631,1.3631,0,0
2014-06-26,1.361,1.361,1.361,1.361,0,0
2014-06-25,1.3638,1.3638,1.3638,1.3638,0,0
2014-06-24,1.3588,1.3588,1.3588,1.3588,0,0
2014-06-23,1.3593,1.3593,1.3593,1.3593,0,0
2014-06-20,1.3586,1.3586,1.3586,1.3586,0,0
2014-06-19,1.362,1.362,1.362,1.362,0,0
2014-06-18,1.3567,1.3567,1.3567,1.3567,0,0
2014-06-17,1.3543,1.3543,1.3543,1.3543,0,0
2014-06-16,1.3578,1.3578,1.3578,1.3578,0,0
2014-06-13,1.3522,1.3522,1.3522,1.3522,0,0
2014-06-12,1.3556,1.3556,1.3556,1.3556,0,0
2014-06-11,1.3532,1.3532,1.3532,1.3532,0,0
2014-06-10,1.3543,1.3543,1.3543,1.3543,0,0
2014-06-06,1.3639,1.3639,1.3639,1.3639,0,0
2014-06-05,1.3618,1.3618,1.3618,1.3618,0,0
